id,dataset,k=2,k=3,k=4,
276,2D,0.039,0.09,0.122,
277,3D,0.335,0.841,0.668,
278,ABACUS,0.028,0.056,0.061,
279,af23560,0.022,0.037,0.051,
280,af_shell,0.222,0.422,0.58,
281,airfoil,0.019,0.039,0.058,
282,Andrews,0.075,0.135,0.229,
283,appu,0.049,0.039,0.071,
284,as-22,0.054,0.067,0.1,
285,astro,0.167,0.127,0.256,
286,atmos,1.534,2.254,2.853,
287,av41092,0.07,0.127,0.139,
288,barrier,0.108,0.184,0.274,
289,Baumann,0.082,0.133,0.299,
290,bayer04,0.022,0.037,0.053,
291,bbmat,0.043,0.087,0.103,
292,bcsstk,0.017,0.044,0.073,
293,Ben,0.13,0.224,0.352,
294,bibd,0.013,0.03,0.025,
295,bips,0.028,0.042,0.054,
296,bloweya,0.087,0.16,0.167,
297,bundle,0.022,0.047,0.043,
298,c-55,0.113,0.187,0.234,
299,c-61,0.036,0.077,0.143,
300,c-64,0.06,0.111,0.35,
